Theta,Distance,Z
-19.2725,28.0102,0.0
-21.0687,30.4157,0.0
-18.3041,26.2481,0.0
-18.9563,27.0122,0.0
-14.4251,20.4186,0.0
-16.2278,22.8179,0.0
-16.2955,22.7697,0.0
-16.9515,23.5297,0.0
-19.9607,27.524,0.0
-18.8633,25.8491,0.0
-16.5764,22.566,0.0
-25.5653,34.5748,0.0
-19.1016,25.6735,0.0
-13.7872,18.4096,0.0
-10.8352,14.3735,0.0
-19.3383,25.4957,0.0
-13.3501,17.4864,0.0
-19.4981,25.3737,0.0
-16.515,21.3602,0.0
-19.6527,25.2541,0.0
-20.3486,25.9795,0.0
-15.4739,19.6356,0.0
-18.0212,22.7208,0.0
-14.3492,17.975,0.0
-18.7859,23.39,0.0
-12.5728,15.5539,0.0
-17.0392,20.9443,0.0
-15.2011,18.5722,0.0
-17.1668,20.8399,0.0
-12.7646,15.3969,0.0
-12.1697,14.591,0.0
-14.7872,17.6164,0.0
-17.4238,20.6255,0.0
-15.5421,18.2878,0.0
-17.5494,20.5187,0.0
-16.3091,18.9477,0.0
-17.6744,20.4111,0.0
-18.3955,21.1094,0.0
-21.7584,24.8107,0.0
-13.2315,14.9976,0.0
-12.6146,14.2082,0.0
-15.9905,17.897,0.0
-13.3696,14.8746,0.0
-16.7704,18.5406,0.0
-14.8091,16.2693,0.0
-13.5067,14.7503,0.0
-18.2965,19.8555,0.0
-12.9191,13.9319,0.0
-12.9604,13.8935,0.0
-17.1105,18.2272,0.0
-15.7943,16.7195,0.0
-15.8438,16.6726,0.0
-15.205,15.9,0.0
-16.6416,17.2932,0.0
-13.9107,14.3698,0.0
-17.4448,17.9075,0.0
-18.901,19.2809,0.0
-20.3624,20.6488,0.0
-16.9053,17.0356,0.0
-17.6653,17.69,0.0
-17.009,16.932,0.0
-17.7731,17.5818,0.0
-17.8282,17.5258,0.0
-17.8801,17.4729,0.0
-17.9349,17.4166,0.0
-19.4287,18.749,0.0
-15.8761,15.2299,0.0
-19.5429,18.63,0.0
-18.1494,17.193,0.0
-16.7443,15.768,0.0
-21.9049,20.4982,0.0
-13.9138,12.9386,0.0
-14.6865,13.576,0.0
-16.9384,15.5593,0.0
-20.68,18.8769,0.0
-16.2925,14.7835,0.0
-16.3389,14.7323,0.0
-18.6194,16.6828,0.0
-20.9091,18.6228,0.0
-22.4652,19.8825,0.0
-20.2748,17.8307,0.0
-21.0805,18.4286,0.0
-21.1383,18.3623,0.0
-12.8689,11.1082,0.0
-16.6965,14.3258,0.0
-21.3072,18.166,0.0
-19.0752,16.1598,0.0
-20.6529,17.3913,0.0
-17.6396,14.7595,0.0
-15.3791,12.7861,0.0
-18.5003,15.2885,0.0
-17.7754,14.5957,0.0
-18.596,15.1719,0.0
-21.7478,17.6362,0.0
-18.6884,15.0581,0.0
-15.613,12.4994,0.0
-22.6925,18.0569,0.0
-15.689,12.4038,0.0
-23.5919,18.5317,0.0
-21.2821,16.6154,0.0
-17.3834,13.484,0.0
-18.2178,14.0397,0.0
-15.8777,12.1614,0.0
-19.8948,15.1393,0.0
-17.5492,13.2675,0.0
-23.1848,17.4203,0.0
-21.6367,16.151,0.0
-24.097,17.8699,0.0
-16.0999,11.8656,0.0
-20.1714,14.7687,0.0
-23.4526,17.0581,0.0
-18.6404,13.4736,0.0
-22.744,16.3312,0.0
-21.9811,15.679,0.0
-22.8434,16.192,0.0
-14.7177,10.3629,0.0
-20.4838,14.3323,0.0
-18.8864,13.1264,0.0
-20.5735,14.2033,0.0
-19.7909,13.5765,0.0
-22.3126,15.2035,0.0
-19.0476,12.8914,0.0
-20.7454,13.9509,0.0
-22.4523,14.9965,0.0
-24.9992,16.5843,0.0
-18.3688,12.1074,0.0
-20.9167,13.6927,0.0
-20.1212,13.0819,0.0
-16.8,10.8518,0.0
-25.251,16.1984,0.0
-21.0848,13.4325,0.0
-16.8996,10.6959,0.0
-19.4731,12.2392,0.0
-21.2081,13.2369,0.0
-21.2473,13.1739,0.0
-18.734,11.5342,0.0
-21.3297,13.0401,0.0
-18.8041,11.4196,0.0
-15.4144,9.2949,0.0
-18.8755,11.3012,0.0
-20.6279,12.2674,0.0
-23.2496,13.7279,0.0
-19.8419,11.6319,0.0
-17.2837,10.0634,0.0
-16.4495,9.5086,0.0
-20.816,11.9455,0.0
-19.1137,10.8934,0.0
-16.5368,9.356,0.0
-20.0537,11.2628,0.0
-20.9603,11.6903,0.0
-24.4965,13.5618,0.0
-17.5278,9.632,0.0
-20.1898,11.017,0.0
-17.5863,9.5248,0.0
-17.6162,9.4695,0.0
-21.173,11.3006,0.0
-19.441,10.2978,0.0
-19.4733,10.2367,0.0
-19.5036,10.1789,0.0
-19.5355,10.1176,0.0
-20.4566,10.5133,0.0
-17.8154,9.0891,0.0
-17.8438,9.0331,0.0
-24.1274,12.119,0.0
-17.8987,8.924,0.0
-20.6156,10.1978,0.0
-17.0567,8.3708,0.0
-21.5766,10.5096,0.0
-19.8087,9.5716,0.0
-19.8387,9.5093,0.0
-19.8668,9.4504,0.0
-18.0876,8.5345,0.0
-19.9258,9.3254,0.0
-18.1394,8.4239,0.0
-21.7989,10.0402,0.0
-20.0112,9.1407,0.0
-18.2166,8.2557,0.0
-20.9788,9.4282,0.0
-17.3547,7.7341,0.0
-21.036,9.2999,0.0
-15.5698,6.825,0.0
-13.7569,5.9788,0.0
-15.6112,6.7297,0.0
-16.5519,7.0736,0.0
-18.4155,7.8018,0.0
-16.5948,6.9724,0.0
-15.6934,6.5358,0.0
-18.4869,7.6311,0.0
-16.6585,6.8186,0.0
-17.6065,7.1421,0.0
-17.6289,7.0868,0.0
-18.5788,7.4047,0.0
-16.7418,6.6116,0.0
-18.6249,7.2878,0.0
-15.8495,6.1476,0.0
-16.8022,6.4565,0.0
-18.6916,7.1152,0.0
-17.777,6.7067,0.0
-16.8612,6.3008,0.0
-16.8809,6.2478,0.0
-16.8994,6.1977,0.0
-18.7986,6.8273,0.0
-16.938,6.0914,0.0
-17.898,6.3767,0.0
-16.9749,5.9878,0.0
-16.9936,5.9344,0.0
-20.7914,7.1915,0.0
-20.8139,7.1262,0.0
-17.0478,5.777,0.0
-18.0129,6.0445,0.0
-18.0318,5.9879,0.0
