Theta,Distance,Z
221.51,8885.00,0
221.69,9525.00,0
221.87,10136.00,0
222.04,1.00,0
222.22,8455.00,0
222.40,9629.00,0
222.57,9866.00,0
222.75,9436.00,0
222.93,1.00,0
223.10,1.00,0
223.28,10356.00,0
223.46,1.00,0
223.63,8631.00,0
223.81,10173.00,0
223.99,1.00,0
224.16,10126.00,0
224.34,1.00,0
224.52,9917.00,0
224.69,1.00,0
224.87,9587.00,0
225.05,9745.00,0
225.22,1.00,0
225.40,1.00,0
225.58,1.00,0
225.75,8993.00,0
225.93,1.00,0
226.11,1.00,0
226.28,1.00,0
226.46,10148.00,0
226.64,1.00,0
226.81,1.00,0
226.99,10083.00,0
227.17,1.00,0
227.34,10198.00,0
227.52,5.00,0
227.70,10068.00,0
227.87,1.00,0
228.05,1.00,0
228.23,1.00,0
228.40,10276.00,0
228.58,1.00,0
228.76,10095.00,0
228.93,1.00,0
229.11,1.00,0
229.29,1.00,0
229.46,1.00,0
229.64,9638.00,0
229.82,10071.00,0
229.99,1.00,0
230.17,1.00,0
230.35,1.00,0
230.52,10322.00,0
230.70,10337.00,0
230.88,9814.00,0
231.05,10165.00,0
231.23,1.00,0
231.41,9810.00,0
231.58,9475.00,0
231.76,1.00,0
231.94,1.00,0
232.11,9829.00,0
232.29,1.00,0
232.47,9823.00,0
232.64,10114.00,0
232.82,1.00,0
233.00,9374.00,0
233.17,10335.00,0
233.35,1.00,0
233.53,1.00,0
233.70,9735.00,0
233.88,10381.00,0
234.06,8965.00,0
234.23,10335.00,0
234.41,9646.00,0
234.59,10105.00,0
234.76,9420.00,0
234.94,10142.00,0
235.12,9362.00,0
235.29,1.00,0
235.47,9129.00,0
235.65,9447.00,0
235.82,10130.00,0
236.00,9858.00,0
236.18,1.00,0
236.35,1.00,0
236.53,10084.00,0
236.71,1.00,0
