Theta,Distance,Z
168.70,18.00,0
168.87,18.00,0
169.05,18.00,0
169.23,18.00,0
169.40,17.00,0
169.58,19.00,0
169.76,20.00,0
169.93,18.00,0
170.11,19.00,0
170.29,18.00,0
170.46,19.00,0
170.64,18.00,0
170.82,20.00,0
170.99,18.00,0
171.17,23.00,0
171.35,22.00,0
171.52,22.00,0
171.70,19.00,0
171.88,20.00,0
172.05,20.00,0
172.23,20.00,0
172.41,18.00,0
172.58,20.00,0
172.76,22.00,0
172.94,18.00,0
173.11,20.00,0
173.29,19.00,0
173.47,19.00,0
173.64,22.00,0
173.82,19.00,0
174.00,18.00,0
174.17,18.00,0
174.35,18.00,0
174.53,22.00,0
174.70,18.00,0
174.88,17.00,0
175.06,18.00,0
175.23,18.00,0
175.41,20.00,0
175.59,18.00,0
175.76,20.00,0
175.94,20.00,0
176.12,20.00,0
176.29,20.00,0
176.47,22.00,0
176.65,22.00,0
176.82,23.00,0
177.00,19.00,0
177.18,20.00,0
177.35,22.00,0
177.53,18.00,0
177.71,20.00,0
177.88,23.00,0
178.06,19.00,0
178.24,20.00,0
178.41,19.00,0
178.59,18.00,0
178.77,19.00,0
178.94,20.00,0
179.12,22.00,0
179.30,19.00,0
179.47,18.00,0
179.65,17.00,0
179.83,19.00,0
180.00,23.00,0
180.18,22.00,0
180.36,19.00,0
180.53,20.00,0
180.71,18.00,0
180.89,19.00,0
181.06,22.00,0
181.24,20.00,0
181.42,22.00,0
181.59,20.00,0
181.77,20.00,0
181.95,20.00,0
182.12,20.00,0
182.30,19.00,0
182.47,18.00,0
182.65,20.00,0
182.83,22.00,0
183.00,18.00,0
183.18,17.00,0
183.36,18.00,0
183.53,18.00,0
183.71,19.00,0
183.89,20.00,0
184.06,18.00,0
184.24,22.00,0
184.42,22.00,0
184.59,19.00,0
184.77,19.00,0
184.95,18.00,0
185.12,22.00,0
185.30,19.00,0
185.48,20.00,0
185.65,19.00,0
185.83,18.00,0
186.01,22.00,0
186.18,15.00,0
186.36,19.00,0
186.54,20.00,0
186.71,20.00,0
186.89,17.00,0
187.07,19.00,0
187.24,20.00,0
187.42,18.00,0
187.60,20.00,0
187.77,19.00,0
187.95,19.00,0
188.13,17.00,0
188.30,19.00,0
188.48,20.00,0
188.66,19.00,0
188.83,18.00,0
189.01,23.00,0
189.19,19.00,0
189.36,17.00,0
189.54,22.00,0
189.72,19.00,0
189.89,15.00,0
190.07,17.00,0
190.25,19.00,0
190.42,17.00,0
190.60,15.00,0
190.78,17.00,0
190.95,20.00,0
191.13,19.00,0
191.31,20.00,0
191.48,19.00,0
191.66,18.00,0
191.84,18.00,0
192.01,18.00,0
192.19,19.00,0
192.37,18.00,0
192.54,20.00,0
192.72,19.00,0
192.90,18.00,0
193.07,15.00,0
193.25,18.00,0
193.43,17.00,0
193.60,19.00,0
193.78,18.00,0
193.96,17.00,0
194.13,17.00,0
194.31,17.00,0
194.49,17.00,0
194.66,18.00,0
194.84,20.00,0
195.02,19.00,0
195.19,19.00,0
195.37,18.00,0
195.55,18.00,0
195.72,18.00,0
195.90,18.00,0
196.08,19.00,0
196.25,20.00,0
196.43,15.00,0
196.61,19.00,0
196.78,18.00,0
196.96,18.00,0
197.14,19.00,0
197.31,19.00,0
197.49,18.00,0
197.67,18.00,0
197.84,22.00,0
198.02,19.00,0
198.20,19.00,0
198.37,18.00,0
198.55,20.00,0
198.73,19.00,0
198.90,17.00,0
199.08,17.00,0
199.26,19.00,0
199.43,20.00,0
199.61,22.00,0
199.79,18.00,0
199.96,22.00,0
200.14,20.00,0
200.32,20.00,0
200.49,19.00,0
200.67,22.00,0
200.85,19.00,0
201.02,24.00,0
201.20,25.00,0
201.38,23.00,0
201.55,22.00,0
201.73,23.00,0
201.91,25.00,0
202.08,19.00,0
202.26,23.00,0
202.44,20.00,0
202.61,23.00,0
202.79,23.00,0
202.97,20.00,0
203.14,20.00,0
203.32,14.00,0
203.50,20.00,0
203.67,19.00,0
203.85,20.00,0
204.03,20.00,0
204.20,20.00,0
204.38,20.00,0
204.56,22.00,0
204.73,19.00,0
204.91,20.00,0
205.09,22.00,0
205.26,25.00,0
205.44,23.00,0
205.62,23.00,0
205.79,23.00,0
205.97,25.00,0
206.15,24.00,0
206.32,19.00,0
206.50,20.00,0
206.68,18.00,0
206.85,18.00,0
207.03,20.00,0
207.21,22.00,0
207.38,20.00,0
207.56,25.00,0
207.74,18.00,0
207.91,27.00,0
208.09,19.00,0
208.27,25.00,0
208.44,25.00,0
208.62,19.00,0
208.80,23.00,0
208.97,28.00,0
209.15,24.00,0
209.33,28.00,0
209.50,22.00,0
209.68,22.00,0
209.86,25.00,0
210.03,20.00,0
210.21,22.00,0
210.39,25.00,0
210.56,25.00,0
210.74,23.00,0
210.92,18.00,0
211.09,23.00,0
211.27,25.00,0
211.45,25.00,0
211.62,22.00,0
211.80,23.00,0
211.98,28.00,0
212.15,22.00,0
212.33,27.00,0
212.51,28.00,0
212.68,29.00,0
212.86,17.00,0
213.04,19.00,0
213.21,25.00,0
213.39,20.00,0
213.57,23.00,0
213.74,27.00,0
213.92,23.00,0
214.10,24.00,0
214.27,20.00,0
214.45,18.00,0
214.63,23.00,0
214.80,24.00,0
214.98,22.00,0
215.16,17.00,0
215.33,22.00,0
215.51,24.00,0
215.69,25.00,0
215.86,22.00,0
216.04,20.00,0
216.22,23.00,0
216.39,19.00,0
216.57,17.00,0
216.75,28.00,0
216.92,24.00,0
217.10,27.00,0
217.28,23.00,0
217.45,15.00,0
217.63,20.00,0
217.81,30.00,0
217.98,19.00,0
218.16,23.00,0
218.34,20.00,0
218.51,25.00,0
218.69,22.00,0
218.87,25.00,0
219.04,23.00,0
219.22,20.00,0
219.40,27.00,0
219.57,20.00,0
219.75,20.00,0
219.92,27.00,0
220.10,20.00,0
220.28,27.00,0
220.45,23.00,0
220.63,27.00,0
220.81,25.00,0
220.98,27.00,0
221.16,28.00,0
221.34,25.00,0
221.51,29.00,0
221.69,29.00,0
221.87,23.00,0
222.04,20.00,0
222.22,24.00,0
222.40,29.00,0
222.57,23.00,0
222.75,22.00,0
222.93,24.00,0
223.10,29.00,0
223.28,22.00,0
223.46,25.00,0
223.63,17.00,0
223.81,27.00,0
223.99,24.00,0
224.16,32.00,0
224.34,22.00,0
224.52,25.00,0
224.69,23.00,0
224.87,22.00,0
225.05,25.00,0
225.22,28.00,0
225.40,29.00,0
225.58,28.00,0
225.75,25.00,0
225.93,24.00,0
226.11,20.00,0
226.28,28.00,0
226.46,24.00,0
226.64,22.00,0
226.81,28.00,0
226.99,24.00,0
227.17,32.00,0
227.34,23.00,0
227.52,27.00,0
227.70,24.00,0
